date, pm25, pm10, o3, no2, so2
2023/5/17, 25, 12, 36, 1, 
2023/5/18, 29, 12, 38, 2, 
2023/5/19, 35, 12, 38, 1, 
2023/5/20, 29, 13, 36, 1, 
2023/5/21, 34, 25, 44, 3, 
2023/5/22, 43, 15, 37, 1, 
2023/5/23, 20, 18, 34, 3, 
2023/5/24, 21, 18, 33, 2, 
2023/5/25, 30, 23, 33, 1, 
2023/5/26, 32, 20, 37, 1, 
2023/5/27, 41, 16, 38, 2, 
2023/5/28, 31, 17, 35, , 
2023/5/29, 23, 16, 33, 1, 
2023/5/30, 20, 13, 35, 1, 
2023/5/31, 23, 11, 33, 1, 
2023/6/1, 16, 17, 34, 1, 
2023/6/2, 17, 9, 38, 2, 
2023/6/3, 19, 11, 37, 1, 
2023/6/4, 13, 11, 34, 1, 
2023/6/5, 13, 12, 38, 1, 
2023/6/6, 22, 16, 38, 2, 
2023/6/7, 24, 17, 41, 2, 
2023/6/8, 27, 18, 59, 2, 
2023/6/9, 51, 21, 60, 2, 
2023/6/10, 37, 22, 60, 2, 
2023/6/11, 39, 23, 60, 3, 
2023/6/12, 46, 21, 59, 2, 
2023/6/13, 37, 20, 47, 2, 
2023/6/14, 24, 18, 48, 3, 
2023/6/15, 29, 18, 50, 3, 
2023/6/16, 22, 15, 63, 5, 
2023/6/17, 28, 19, 60, 3, 
2023/6/18, 43, 18, 42, 2, 
2023/6/19, 32, 20, 49, 4, 
2023/6/20, 29, 16, 40, 5, 1
2023/6/21, 22, 18, 36, 5, 
2023/6/22, 28, 16, 40, 3, 
2023/6/23, 30, 15, 48, 7, 
2023/6/24, 11, 18, 70, 4, 
2023/6/25, 18, 13, 37, 3, 
2023/6/26, 16, 14, 32, 4, 
2023/6/27, 5, 18, 22, 5, 
2023/6/28, 28, 15, 25, 4, 
2023/6/29, 30, 13, 37, 3, 
2023/6/30, 6, 11, 23, 2, 
2023/1/2, 24, 11, 24, 9, 
2023/1/3, 38, 12, 25, 4, 
2023/1/4, 21, 25, 23, 5, 
2023/1/5, 23, 8, 24, 5, 
2023/1/6, 13, 5, 22, 3, 
2023/1/7, 12, 8, 26, 2, 
2023/1/8, 9, 11, 25, 5, 
2023/1/9, 12, 17, 20, 7, 
2023/1/10, 23, 18, 27, 4, 
2023/1/11, 10, 6, 31, 3, 
2023/1/12, 6, 18, 29, 3, 
2023/1/13, 13, 12, 28, 4, 
2023/1/14, 20, 11, 29, 2, 
2023/1/15, 13, 5, 29, 6, 
2023/1/16, 11, 13, 26, 13, 
2023/1/17, 20, 13, 20, 15, 
2023/1/18, 32, 13, 24, 7, 
2023/1/19, 15, 15, 13, 12, 
2023/1/20, 55, 19, 14, 6, 
2023/1/21, 70, 7, 19, 4, 
2023/1/22, 46, 11, 14, 6, 
2023/1/23, 50, 14, 16, 4, 
2023/1/24, 57, 29, 16, 10, 
2023/1/25, 88, 22, 29, 9, 
2023/1/26, 53, 7, 25, 2, 
2023/1/27, 22, 8, 27, 4, 
2023/1/28, 30, 21, 15, 10, 
2023/1/29, 68, 17, 26, 4, 
2023/1/30, 29, 20, 24, 8, 
2023/1/31, 30, 20, 25, 6, 
2023/2/1, 28, 16, 24, 4, 
2023/2/2, 23, 15, 26, 6, 
2023/2/3, 23, 22, 22, 8, 
2023/2/4, 36, 25, 31, 4, 
2023/2/5, 37, 25, 22, 10, 
2023/2/6, 29, 21, 13, 15, 
2023/2/7, 57, 25, 11, 18, 
2023/2/8, 70, 28, 7, 19, 
2023/2/9, 72, 23, 21, 16, 
2023/2/10, 62, 15, 19, 7, 
2023/2/11, 41, 19, 18, 12, 
2023/2/12, 56, 23, 18, 10, 
2023/2/13, 62, 32, 11, 17, 
2023/2/14, 79, 41, 9, 19, 
2023/2/15, 96, 40, 19, 12, 
2023/2/16, 88, 11, 22, 4, 
2023/2/17, 25, 13, 26, 5, 
2023/2/18, 24, 8, 26, 3, 
2023/2/19, 13, 16, 23, 6, 
2023/2/20, 44, 24, 16, 8, 
2023/2/21, 63, 26, 12, 9, 
2023/2/22, 72, 21, 26, 9, 
2023/2/23, 55, 16, 30, 8, 
